,is_transfer,commute,minor,is_stem,gpa,club_general,club_professional,club_recreational,club_athletic,club_cultural,club_skilldev,club_other,is_greek,job_status,outings_per_week,relationship_status,longest_relationship_months,num_romantic_involvements,met_partner_ucsd,year_2,year_3,year_4,dept_NaturalSci,dept_Arts/Humanities,dept_SocSci,dept_CogSci,dept_CS/DS,dept_Engineering
47,0,0,0,1,3.7,1,1,0,0,0,0,0,0,0,3.0,0,5.0,4,0,0,0,0,0,0,0,0,1,0
48,0,0,1,1,,1,0,1,0,1,1,0,0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,1,0,0
49,0,1,0,1,3.09,1,1,0,0,1,0,0,0,1,4.0,1,24.0,2,0,0,1,0,0,0,0,0,1,0
50,0,1,1,1,3.78,1,0,0,0,0,1,0,0,0,4.0,0,0.0,0,0,0,1,0,0,0,0,0,1,0
51,0,1,1,1,3.6,0,0,0,0,0,0,0,0,0,4.0,0,40.0,3,0,0,0,1,0,0,0,1,0,0
52,0,0,1,1,3.5,1,0,0,0,1,0,0,1,1,2.0,1,11.0,3,1,0,1,0,1,0,0,0,0,0
53,0,0,0,1,,1,1,0,1,0,0,0,0,0,3.0,1,18.0,1,1,0,1,0,0,0,0,0,1,0
54,0,1,0,0,3.85,1,0,1,1,0,0,0,1,0,4.5,0,18.0,2,1,1,0,0,0,1,0,0,0,0
55,0,0,1,1,3.9,1,0,0,0,0,1,0,1,0,4.5,0,20.0,1,0,1,0,0,0,0,0,0,1,0
56,0,0,0,1,4.0,1,1,0,0,0,0,0,0,0,2.0,0,6.0,1,1,0,0,0,0,0,0,0,0,1
57,0,0,1,1,,1,0,1,0,0,1,0,0,0,5.0,0,0.0,0,0,0,0,0,0,1,0,1,0,0
58,0,0,0,1,,1,1,1,0,1,0,0,1,0,2.0,1,5.0,3,1,0,1,0,0,0,0,0,1,0
59,0,1,0,1,,1,0,0,0,0,1,0,0,0,4.0,0,18.0,9,1,0,1,0,0,0,0,1,0,0
60,0,1,0,1,,0,0,0,0,0,0,0,0,1,1.0,1,12.0,1,1,1,0,0,0,0,0,0,0,1
61,0,0,0,1,,1,0,1,0,0,0,0,0,0,1.0,1,12.0,1,1,1,0,0,0,0,0,0,0,1
62,0,0,0,1,,1,0,1,0,0,0,0,0,0,7.0,0,0.0,0,1,0,0,0,1,0,0,0,0,0
63,0,0,0,1,,1,0,1,0,0,0,0,0,0,7.0,1,16.0,1,0,0,0,0,0,0,0,0,1,0
64,0,0,1,0,3.7,1,0,0,0,0,1,0,0,1,5.0,0,0.0,0,1,1,0,0,0,0,1,0,0,0
65,0,1,0,0,4.0,1,0,0,0,0,0,1,0,1,7.0,0,9.0,1,1,1,0,0,0,0,1,0,0,0
66,1,1,1,1,2.0,1,1,0,0,0,0,0,0,1,7.0,0,24.0,0,0,0,0,1,0,0,0,1,0,0
67,0,0,0,1,,1,1,1,0,0,1,0,0,1,4.0,1,24.0,2,0,0,0,0,0,0,0,1,0,0
68,0,1,0,0,,1,0,0,0,0,0,1,0,0,1.0,0,4.0,1,0,0,0,0,0,0,1,0,0,0
69,0,0,0,1,3.42,1,1,1,1,1,0,0,0,1,0.0,0,9.0,1,0,1,0,0,1,0,0,0,0,0
70,0,0,0,1,,0,0,1,0,0,0,0,1,0,7.0,0,3.0,2,0,1,0,0,1,0,0,0,0,0
71,0,1,1,1,3.4,1,1,0,0,0,0,0,0,1,2.0,1,34.0,1,0,0,1,0,0,0,1,0,0,0
72,0,0,0,1,,1,1,1,0,0,0,0,0,0,2.0,0,0.0,0,1,0,0,0,0,0,1,0,0,0
73,0,0,0,0,,1,1,1,1,1,0,0,0,0,6.0,0,3.0,1,1,0,0,0,0,0,1,0,0,0
74,0,0,1,1,,1,0,1,0,1,0,0,0,0,5.0,0,0.0,0,1,0,0,0,0,1,0,0,0,0
75,0,1,1,1,3.8,1,0,1,0,0,0,0,0,0,14.0,1,36.0,2,1,0,0,1,0,0,0,1,0,0
76,1,0,0,1,3.55,1,0,1,0,0,1,0,0,0,3.0,0,1.0,0,0,0,0,1,0,0,0,0,1,0
77,0,1,1,1,,1,0,0,0,1,0,0,1,1,3.0,0,4.0,1,1,0,0,1,0,0,0,0,1,0
78,0,1,0,1,3.87,1,0,0,1,0,0,0,0,1,3.0,1,18.0,7,1,0,0,1,0,0,0,1,0,0
